exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type
DCE,jm2509,721.0,768.0,772.5,721.0,63877833990.0,1429492,560831,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2510,724.5,776.5,780.0,724.5,122587260.0,2721,4825,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2511,732.5,783.0,786.0,732.5,58361970.0,1285,1243,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2512,736.5,786.0,788.0,736.5,13001130.0,286,967,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2601,739.5,786.0,788.0,738.0,4523213760.0,98673,90670,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2602,752.5,791.5,791.5,750.0,5195550.0,113,179,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2603,757.0,798.5,804.0,757.0,10189740.0,219,417,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2604,765.0,804.0,808.0,765.0,8985210.0,191,276,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,jm2605,767.5,804.5,808.0,766.0,132974730.0,2810,3274,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2506,7015.0,6982.0,7030.0,6982.0,2840110.0,81,1711,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2507,6973.0,7061.0,7068.0,6973.0,372026020.0,10574,7151,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2508,6992.0,7063.0,7070.0,6988.0,80098255.0,2278,10115,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2509,6975.0,7049.0,7060.0,6965.0,12066187680.0,344165,555015,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2510,6955.0,7028.0,7038.0,6949.0,89711205.0,2564,8022,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2511,6956.0,7022.0,7037.0,6955.0,14557430.0,416,764,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2512,6955.0,7028.0,7028.0,6953.0,1678590.0,48,532,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2601,6942.0,7018.0,7026.0,6934.0,1192055370.0,34165,111229,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2602,6936.0,7007.0,7007.0,6932.0,871365.0,25,378,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2603,6948.0,6980.0,6986.0,6943.0,208985.0,6,162,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2604,6969.0,7009.0,7009.0,6969.0,69890.0,2,116,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,l2605,6935.0,7000.0,7014.0,6931.0,4775260.0,137,573,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
